,count
moçoila,0
boneca,0
passivo*,0
putinha,0
surde*,0
putos,0
qualira,0
queima-rosca,0
sapata,0
machona,0
lésbica,0
surta,0
aberração*,0
cacura,0
caminhoneira,0
curte-cara,0
desmunhecar,0
donzela,0
emboiolar,0
encubado,0
surtado,0
fresca,0
fresco,0
gaizada,0
surtadas,0
gayzada,0
homossexualismo,0
imoral,0
imoral*,0
